巫	wū	wizard, sorcerer, witch, shaman		
靈	líng	spirit, soul; spiritual world	靈魂 靈活 心靈	línghún línghuó xīnlíng
狂	kuáng	insane, mad; violent; wild	瘋狂 狂風 狂妄	fēngkuáng kuángfēng kuángwàng
祭	jì	sacrifice to, worship	祭祀	jìsì
際	jì	border, boundary, juncture	實際 國際 交際	shíjì guójì jiāojì
尹	yǐn	govern; oversee; director		
君	jūn	sovereign, monarch, ruler, chief, prince	國君	guójūn
群	qún	group, crowd, multitude, mob	群眾 群島 群居	qúnzhòng qúndǎo qúnjū
族	zú	a family clan, ethnic group, tribe	民族 貴族 種族	mínzú guìzú zhǒngzú
騎	qí	ride horseback; mount; cavalry		
項	xiàng	neck, nape of neck; sum; funds	項目	xiàngmù
戲	xì	theatrical play, show	戲劇 遊戲 戲曲	xìjù yóuxì xìqǔ
遇	yù	meet, come across, encounter	遇到 待遇 遇見	yùdào dàiyù yùjiàn
狗	gǒu	dog, canis familiaris	熱狗	règǒu
佳	jiā	good, auspicious; beautiful; delightful	最佳 佳節 佳人	zuìjiā jiājié jiārén
甫	fǔ	begin; man, father; great; a distance of ten li		
博	bó	gamble, play games; wide, broad	博物館 博士 賭博	bówùguǎn bóshì dǔbó
痛	tòng	pain, ache; sorry, sad; bitter	痛苦 頭痛 悲痛	tòngkǔ tóutòng bēitòng
呂	lǚ	surname; a musical note		
營	yíng	encampment, barracks; manage	露營 營養 經營	lùyíng yíngyǎng jīngyíng
妹	mèi	younger sister	妹妹 姊妹	mèimei zǐmèi
康	kāng	peaceful, quiet; happy, healthy	健康 康復	jiànkāng kāngfù
善	shàn	good, virtuous, charitable, kind	改善 善於 妥善	gǎishàn shànyú tuǒshàn
微	wēi	small, prefix micro-, trifling	微笑 稍微 微弱	wēixiào shāowēi wēiruò
徵	zhēng	summon, recruit; musical note	徵求 特徵 象徵	zhēngqiú tèzhēng xiàngzhēng
歷	lì	take place, past, history	歷史 經歷 學歷	lìshǐ jīnglì xuélì
爾	ěr	you; that, those; final particle	偶爾	ǒuěr
按	àn	put hand on, press down with hand	按照 按時 按摩	ànzhào ànshí ànmó
編	biān	knit, weave; arrange; compile	編輯 編寫 編織	biānjí biānxiě biānzhī
病	bìng	illness, sickness, disease	生病 看病 病人	shēngbìng kànbìng bìngrén
隻	zhī	single, one of pair, lone	船隻	chuánzhī
護	hù	protect, guard, defend, shelter	護士 護照 救護車	hùshi hùzhào jiùhùchē
補	bǔ	mend, patch, fix, repair, restore	補償 補充 補課	bǔcháng bǔchōng bǔkè
擇	zé	select, choose, pick out	選擇 抉擇	xuǎnzé juézé
抓	zhuā	scratch; clutch, seize, grab	抓緊	zhuājǐn
歲	suì	year; age; harvest	歲數 歲月 萬歲	suìshu suìyuè wànsuì
領	lǐng	neck; collar; lead, guide	帶領 領導 領域	dàilǐng lǐngdǎo lǐngyù
尋	xún	seek, search, look for; ancient	尋找 找尋	xúnzhǎo zhǎoxún
囚	qiú	prisoner, convict; confine		
溫	wēn	lukewarm, warm; tepid, mild	溫暖 溫度 氣溫	wēnnuǎn wēndù qìwēn
養	yǎng	raise, rear, bring up; support	保養 培養 營養	bǎoyǎng péiyǎng yíngyǎng
守	shǒu	defend, protect, guard, conserve	保守 防守 遵守	bǎoshǒu fángshǒu zūnshǒu
血	xuè	blood; radical number 143	流血 鮮血 血管	liúxuè xiānxuè xuèguǎn
居	jū	live, dwell, reside, sit	鄰居 居住 居民	línjū jūzhù jūmín
胃	wèi	stomach; gizzard of fowl	胃口	wèikǒu
謂	wèi	say, tell; call, name; be called	所謂 無所謂	suǒwèi wúsuǒwèi
異	yì	different, unusual, strange	差異 奇異 異常	chāyì qíyì yìcháng
憂	yōu	sad, grieved; grief, melancholy	憂鬱	yōuyù
優	yōu	superior, excellent; actor	優點 優秀 優惠	yōudiǎn yōuxiù yōuhuì
兆	zhào	omen; million; mega; also trillion. China = million; Japan and Taiwan = trillion		
跳	tiào	jump, leap, vault, bounce; dance	跳舞 嚇一跳 跳高	tiàowǔ xiàyītiào tiàogāo
拜	bài	do obeisance, bow, kowtow	禮拜 禮拜天 拜拜	lǐbài Lǐbàitiān báibái
爛	làn	rotten, spoiled, decayed	破爛 燦爛 腐爛	pòlàn cànlàn fǔlàn
亞	yà	Asia; second; used as a prefix to names	亞軍 亞洲	yàjūn Yàzhōu
惡	è	evil, wicked, bad, foul	可惡 惡劣 厭惡	kěwù èliè yànwù
莫	mò	do not, is not, can not; negative		
模	mó	model, standard, pattern; copy	規模 模仿 模糊	guīmó mófǎng móhu
狀	zhuàng	form; appearance; shape; official	狀態 形狀 症狀	zhuàngtài xíngzhuàng zhèngzhuàng
浪	làng	wave; wasteful, reckless	浪漫 浪費 波浪	làngmàn làngfèi bōlàng
聊	liáo	somewhat, slightly, at least	無聊 聊天 聊天兒	wúliáo liáotiān liáotiānr
增	zēng	increase, add to, augment	增加 增長 激增	zēngjiā zēngzhǎng jīzēng
核	hé	seed, kernel, core, nut; atom	核定 核對 核算	hédìng héduì hésuàn
激	jī	arouse, excite, incite; quickly	刺激 激動 激烈	cìjī jīdòng jīliè
陸	lù	land, continental; army; an accounting form of "six"	大陸 陸軍 陸續	Dàlù lùjūn lùxù
忙	máng	busy, pressed for time; hustling	幫忙 繁忙 急忙	bāngmáng fánmáng jímáng
詞	cí	words; phrase, expression	名詞 詞典 詞彙	míngcí cídiǎn cíhuì
劇	jù	theatrical plays, opera, drama	劇本 劇情 連續劇	jùběn jùqíng liánxùjù
宿	sù	stop, rest, lodge, stay overnight; constellation	宿舍 住宿	sùshè zhùsù
急	jí	quick, quickly; urgent, pressing	著急 急忙 緊急	zháojí jímáng jǐnjí
啥	shà	what?		
抱	bào	embrace, hold in arms, enfold	抱怨 擁抱 抱負	bàoyuàn yōngbào bàofù
靜	jìng	quiet, still, motionless; gentle	安靜 冷靜 平靜	ānjìng lěngjìng píngjìng
攻	gōng	attack, assault; criticize	攻讀 攻擊 進攻	gōngdú gōngjī jìngōng
江	jiāng	large river; yangzi; surname		
致	zhì	send, deliver, present; cause	大致 一致 不致	dàzhì yīzhì bùzhì
陣	zhèn	column, row or file of troops	陣子 陣營	zhènzi zhènyíng
嚴	yán	strict, rigorous, rigid; stern	嚴重 嚴格 嚴肅	yánzhòng yángé yánsù
宗	zōng	lineage, ancestry; ancestor, clan	宗教 宗旨 祖宗	zōngjiào zōngzhǐ zǔzōng
敬	jìng	respect, honor; respectfully	尊敬 敬愛 敬酒	zūnjìng jìngài jìngjiǔ
警	jǐng	guard, watch; alert, alarm	警察 報警 警告	jǐngchá bàojǐng jǐnggào
壘	lěi	rampart, military wall		
密	mì	dense, thick, close; intimate	秘密 密切 稠密	mìmì mìqiè chóumì
垂	chuí	let down; suspend, hand; down	垂直	chuízhí
睡	shuì	sleep, doze	睡覺 睡著 睡眠	shuìjiào shuìzháo shuìmián
店	diàn	shop, store; inn, hotel	飯店 商店 書店	fàndiàn shāngdiàn shūdiàn
勢	shì	power, force; tendency	勢力 地勢 氣勢	shìli dìshì qìshì
悲	bēi	sorrow, grief; sorry, sad	悲劇 悲痛 悲哀	bēijù bēitòng bēiāi
蘭	lán	orchid; elegant, graceful	伊斯蘭教	Yīsīlánjiào
幕	mù	curtain, screen, tent	字幕 閉幕 揭幕	zìmù bìmù jiēmù
緣	yuán	hem, margin; reason, cause; karma, fate	緣故 邊緣 結緣	yuángù biānyuán jiéyuán
週	zhōu	week; turn, cycle; anniversary	週末	zhōumò
敞	chǎng	roomy, spacious, open, broad		
廠	chǎng	factory, plant, workshop, mill	工廠 廠商	gōngchǎng chǎngshāng
簽	qiān	sign, endorse; slip of paper	簽名 簽證 簽訂	qiānmíng qiānzhèng qiāndìng
香	xiāng	fragrant, sweet smelling, incense	香蕉 香水 香腸	xiāngjiāo xiāngshuǐ xiāngcháng
爽	shuǎng	happy, cheerful; refreshing	爽快	shuǎngkuai
控	kòng	accuse, charge; control	控制 指控	kòngzhì zhǐkòng
番	fān	to take turns; a turn, a time; to repeat		
翻	fān	flip over, upset, capsize	翻譯 推翻 翻臉	fānyì tuīfān fānliǎn
普	pǔ	universal, general, widespread	普遍 普及 普通	pǔbiàn pǔjí pǔtōng
蠻	mán	barbarians; barbarous, savage	蠻橫	mánhèng
冷	lěng	cold, cool; lonely	冷氣 冷氣機 冷淡	lěngqì lěngqìjī lěngdàn
威	wēi	pomp, power; powerful; dominate	示威 威脅 權威	shìwēi wēixié quánwēi
毒	dú	poison, venom; poisonous	毒品 吸毒 病毒	dúpǐn xīdú bìngdú
俊	jùn	talented, capable; handsome	英俊	yīngjùn
絡	luò	enmesh, wrap around; web, net	聯絡	liánluò
輯	jí	gather up, collect; edit, compile	編輯 邏輯	biānjí luóji
倉	cāng	granary; berth; sea	倉庫	cāngkù
創	chuàng	establish, create; knife cut	創造 創作 創傷	chuàngzào chuàngzuò chuāngshāng
堂	táng	hall; government office	教堂 課堂 禮堂	jiàotáng kètáng lǐtáng
趙	zhào	surname; ancient state		
套	tào	case, cover, wrapper, envelope	外套 手套 套房	wàitào shǒutào tàofáng
舊	jiù	old, ancient; former, past	依舊	yījiù
雜	zá	mixed, blended; mix, mingle	雜誌 複雜 夾雜	zázhì fùzá jiāzá
述	shù	narrate, state, express	上述 描述 敘述	shàngshù miáoshù xùshù
恐	kǒng	fear; fearful, apprehensive	恐怕 恐怖 惶恐	kǒngpà kǒngbù huángkǒng
亮	liàng	bright, brilliant, radiant, light	漂亮 月亮 光亮	piàoliang yuèliang guāngliàng
鹿	lù	deer; surname; KangXi radical 198		
麗	lì	beautiful, magnificent, elegant	美麗 壯麗	měilì zhuànglì
禮	lǐ	social custom; manners; courtesy; rites	禮物 禮拜 禮拜天	lǐwù lǐbài Lǐbàitiān
酒	jiǔ	wine, spirits, liquor, alcoholic beverage	啤酒 酒吧 敬酒	píjiǔ jiǔbā jìngjiǔ
餐	cān	eat, dine; meal; food	餐廳 餐桌 西餐	cāntīng cānzhuō xīcān
卑	bēi	humble, low, inferior; despise		
牌	pái	signboard, placard	牌子 招牌 名牌	páizi zhāopai míngpái
突	tū	suddenly, abruptly, unexpectedly	突然 突出 突破	tūrán tūchū tūpò
腳	jiǎo	foot; base, leg, foundation	腳踏車 腳步 腳本	jiǎotàchē jiǎobù jiǎoběn
劍	jiàn	sword, dagger, saber		
招	zhāo	beckon, summon; recruit, levy	招待 招牌 打招呼	zhāodài zhāopai dǎzhāohu
典	diǎn	law, canon; documentation; classic, scripture	字典 詞典 典禮	zìdiǎn cídiǎn diǎnlǐ
搞	gǎo	to clear, clarify		
房	fáng	house, building; room	房子 房間 廚房	fángzi fángjiān chúfáng
素	sù	white (silk); plain; vegetarian; formerly; normally	因素 樸素 素食	yīnsù pǔsù sùshí
防	fáng	defend; prevent; embankment	防守 防止 防備	fángshǒu fángzhǐ fángbèi
授	shòu	give to, transmit; confer	教授 傳授 授課	jiàoshòu chuánshòu shòukè
草	cǎo	grass, straw, thatch, herbs	草地 草原 花草	cǎodì cǎoyuán huācǎo
暴	bào	violent, brutal, tyrannical	暴力 暴躁 暴雨	bàolì bàozào bàoyǔ
慮	lǜ	be concerned, worry about	考慮 疑慮	kǎolǜ yílǜ
紹	shào	continue, carry on; hand down; to join	介紹	jièshào
背	bèi	back; back side; behind; betray	背包 背後 背景	bēibāo bèihòu bèijǐng
劉	liú	surname; kill, destroy		
委	wěi	appoint, send, commission	委屈 委託 委員	wěiqu wěituō wěiyuán
府	fǔ	prefecture; prefect; government	政府 首府	zhèngfǔ shǒufǔ
憶	yì	remember, reflect upon; memory	記憶 回憶	jìyì huíyì
諸	zhū	several, various	諸多	zhūduō
缺	quē	be short of, lack; gap, deficit	缺點 缺乏 缺少	quēdiǎn quēfá quēshǎo
援	yuán	aid, assist; lead; cite	支援 救援 援助	zhīyuán jiùyuán yuánzhù
漫	màn	overflow of water; spreading	浪漫 漫畫 漫長	làngmàn mànhuà màncháng
琴	qín	Chinese lute or guitar	鋼琴	gāngqín
罵	mà	accuse, blame, curse, scold		
純	chún	pure, clean, simple	單純	dānchún
藝	yì	art; talent, ability; craft	藝術 文藝 工藝品	yìshù wényì gōngyìpǐn
惜	xī	pity, regret, rue, begrudge	愛惜 可惜 珍惜	àixī kěxī zhēnxī
置	zhì	place, lay out; set aside	佈置 位置 設置	bùzhì wèizhi shèzhì
益	yì	profit, benefit; advantage	利益 公益 權益	lìyì gōngyì quányì
姐	jiě	elder sister, young lady	姐姐 小姐	jiějie xiǎojie
誠	chéng	sincere, honest; true, real	誠實 誠懇 誠意	chéngshí chéngkěn chéngyì
繼	jì	continue, maintain, carry on	繼續 繼承 相繼	jìxù jìchéng xiāngjì
胡	hú	recklessly, foolishly; wildly	胡亂	húluàn
湖	hú	a lake; Hubei, Hunan; bluish-green		
欲	yù	desire, want, long for; intend		
啡	fēi	morphine; coffee	咖啡	kāfēi
靠	kào	lean on, trust, depend on; near	可靠 依靠 靠近	kěkào yīkào kàojìn
松	sōng	pine tree; fir tree	松樹	sōngshù
刻	kè	carve, engrave; quarter hour	立刻 時刻 雕刻	lìkè shíkè diāokè
紀	jì	record, annal, historical account	年紀 紀念 世紀	niánjì jìniàn shìjì
退	tuì	step back, retreat, withdraw	退步 退休 後退	tuìbù tuìxiū hòutuì
含	hán	hold in mouth; cherish; contain	包含 含量	bāohán hánliàng
判	pàn	judge; discriminate; conclude	裁判 判斷 批判	cáipàn pànduàn pīpàn
釋	shì	interprete, elucidate; release	解釋 釋放	jiěshì shìfàng
波	bō	waves, breakers; undulations	波動 波及 波浪	bōdòng bōjí bōlàng
承	chéng	inherit, receive; succeed	承認 承包 承擔	chéngrèn chéngbāo chéngdān
堆	duī	heap, pile, crowd; pile up	堆積	duījī
製	zhì	make, manufacture; produce	複製 製造 製作	fùzhì zhìzào zhìzuò
鍵	jiàn	door bolt, lock bolt; key	關鍵 鍵盤	guānjiàn jiànpán
旱	hàn	drought; dry; dry land		
趕	gǎn	pursue, follow; expel, drive away	趕快 趕上 趕緊	gǎnkuài gǎnshàng gǎnjǐn
旁	páng	side; by side, close by, near	旁邊 一旁 旁人	pángbiān yīpáng pángrén
筆	bǐ	writing brush; write; stroke	鉛筆 毛筆 筆記	qiānbǐ máobǐ bǐjì
註	zhù	explain; annotate; make entry	註冊	zhùcè
奏	zòu	memorialize emperor; report	演奏	yǎnzòu
樹	shù	tree; plant; set up, establish	樹木 樹林 果樹	shùmù Shùlín guǒshù
律	lǜ	statute, principle, regulation	法律 律師 規律	fǎlǜ lǜshī guīlǜ
鐵	tiě	iron; strong, solid, firm	地鐵 鐵路 鋼鐵	dìtiě tiělù gāngtiě
榮	róng	glory, honor; flourish, prosper	繁榮 光榮 榮幸	fánróng guāngróng róngxìng
昨	zuó	yesterday; in former times, past	昨天	zuótiān
采	cǎi	collect, gather; pick, pluck		
彩	cǎi	hue, color; variegated colors	彩色 精彩 色彩	cǎisè jīngcǎi sècǎi
歸	guī	return; return to, revert to	歸還 歸納	guīhuán guīnà
罪	zuì	crime, sin, vice; evil; hardship	得罪 犯罪 罪惡	dézuì fànzuì zuìè
皆	jiē	all, every, everybody		
葉	yè	leaf, petal; page of book; period	茶葉 葉子 中葉	cháyè yèzi zhōngyè
售	shòu	sell	出售 零售 銷售	chūshòu língshòu xiāoshòu
彈	dàn	pellet, bullet, shot, shell	飛彈 彈性 原子彈	fēidàn tánxìng yuánzǐdàn
衛	wèi	guard, protect, defend	保衛 衛生 衛生紙	bǎowèi wèishēng wèishēngzhǐ
施	shī	grant, bestow; give; act; name	措施 施工 實施	cuòshī shīgōng shíshī
銘	míng	inscribe, engrave; unforgettably	座右銘	zuòyòumíng
塊	kuài	piece, lump; dollar	冰塊 一塊 一塊兒	bīngkuài yīkuài yīkuàir
漢	hàn	the Chinese people, Chinese language	漢語 漢字 漢堡	Hànyǔ hànzì Hànbǎo
欣	xīn	happy, joyous, delighted	欣賞	xīnshǎng
賞	shǎng	reward, grant, bestow; appreciate	欣賞 獎賞	xīnshǎng jiǎngshǎng
載	zài	load; carry; transport, convey	記載	jìzǎi
險	xiǎn	narrow pass, strategic point, dangerous	危險 保險 風險	wēixiǎn bǎoxiǎn fēngxiǎn
播	bō	sow, spread; broadcast; cast away, reject	廣播 傳播 轉播	guǎngbō chuánbō zhuǎnbō
童	tóng	child, boy, servant boy; virgin	兒童	értóng
鐘	zhōng	clock; bell	點鐘 分鐘 鐘頭	diǎnzhōng fēnzhōng zhōngtóu
寄	jì	send, transmit, mail; rely on		
弄	nòng	do, play or fiddle with; alley	弄錯 玩弄	nòngcuò wánnòng
構	gòu	frame, building, structure	構成 構造 機構	gòuchéng gòuzào jīgòu
囉	luō	exclamatory final particle, nag	囉嗦	luōsuo
磁	cí	magnetic; magnetism; porcelain	磁帶	cídài
螢	yíng	glow-worm, luminous insect		
偉	wěi	great, robust; extraordinary	偉大 雄偉 宏偉	wěidà xióngwěi hóngwěi
薦	jiàn	offer, present; recommend	推薦	tuījiàn
洋	yáng	ocean, sea; foreign; western	海洋 大洋洲 西洋	hǎiyáng Dàyángzhōu xīyáng
嘿	hēi	be silent, be quiet		
啟	qǐ	open; begin	開啟 啟發 啟示	kāiqǐ qǐfā qǐshì
梅	méi	plums; prunes; surname	梅花	méihuā
策	cè	scheme, plan; to whip; urge	策略 對策 政策	cèlüè duìcè zhèngcè
嘻	xī	mirthful, happy; interjection		
燈	dēng	lantern, lamp	紅綠燈 燈光 電燈	hónglǜdēng dēngguāng diàndēng
檢	jiǎn	check; examine	檢查 檢驗 檢討	jiǎnchá jiǎnyàn jiǎntǎo
宣	xuān	declare, announce, proclaim	宣布 宣傳 宣稱	xuānbù xuānchuán xuānchēng
哦	ó	oh? really? is that so?		
媽	mā	mother, mama	媽媽 舅媽	māma jiùmā
均	jūn	equal, even, fair; all, also	平均 均衡 均勻	píngjūn jūnhéng jūnyún
派	pài	school of thought, sect, branch	黨派 派出所 派對	dǎngpài pàichūsuǒ pàiduì
豬	zhū	pig, hog		
齊	qí	even, uniform, of equal length	整齊 齊全 一齊	zhěngqí qíquán yīqí
濟	jì	to help, aid, relieve; to ferry, cross	經濟 救濟	jīngjì jiùjì
架	jià	rack, stand, prop; prop up	吵架 打架 書架	chǎojià dǎjià shūjià
享	xiǎng	enjoy	享受 享有 分享	xiǎngshòu xiǎngyǒu fēnxiǎng
訓	xùn	teach, instruct; exegesis	教訓 訓練 培訓	jiàoxun xùnliàn péixùn
監	jiān	supervise, control, direct	監視 監獄 監督	jiānshì jiānyù jiāndū
藍	lán	blue; indigo plant; surname	藍色	lánsè
劃	huà	divide, mark off, lay boundary	計劃 規劃 策劃	jìhuà guīhuà cèhuà
詹	zhān	surname; talk too much, verbose		
擔	dān	carry, bear, undertake	擔心 擔任 負擔	dānxīn dānrèn fùdān
努	nǔ	to exert, strive, make an effort; to pout	努力	nǔlì
郭	guō	outer part (of a city); surname		
兼	jiān	unite, combine; connect; and	兼職	jiānzhí
歉	qiàn	deficient, lacking, insufficient	道歉 歉意 抱歉	dàoqiàn qiànyì bàoqiàn
紙	zhǐ	paper	報紙 衛生紙 紙張	bàozhǐ wèishēngzhǐ zhǐzhāng
貼	tiē	paste to, stick on; attached to	體貼 貼心 津貼	tǐtiē tiēxīn jīntiē
暗	àn	dark; obscure; in secret, covert	暗中 黑暗 暗暗	ànzhōng hēiàn ànàn
呼	hū	breathe sigh, exhale; call, shout	打招呼 呼吸 歡呼	dǎzhāohu hūxī huānhū
罷	bà	cease, finish, stop; give up	罷工 罷了	bàgōng bàle
巧	qiǎo	skillful, ingenious, clever	巧克力 技巧 巧妙	qiǎokèlì jìqiǎo qiǎomiào
彗	huì	broomstick; comet	彗星	huìxīng
慧	huì	bright, intelligent; intelligence	智慧	zhìhuì
